"","team_name","win_perc"
"194","Notre Dame",0.443396226415094
"195","Oakland",0.341463414634146
"196","Ohio",0.673076923076923
"197","Ohio St.",0.790909090909091
"198","Oklahoma",0.857142857142857
"199","Oklahoma St.",0.66
"200","Ole Miss",0.711538461538461
"201","Omaha",0.772727272727273
"202","Oregon",0.886792452830189
"203","Oregon St.",0.522727272727273
"204","Ouachita Baptist",0.666666666666667
"205","Pacific",0.326530612244898
"206","Penn",0.0897435897435898
"207","Penn St.",0.490196078431373
"208","Pittsburgh",0.384615384615385
"209","Portland St.",0.24
"210","Prairie View",0.574468085106383
"211","Presbyterian",0.42
"212","Princeton",0.634146341463415
"213","Providence",0.431372549019608
"214","Purdue",0.56
"215","Purdue Fort Wayne",0.441860465116279
"216","Queens (NC)",0.307692307692308
"217","Quinnipiac",0.4
"218","Radford",0.547169811320755
"219","Rhode Island",0.270833333333333
"220","Rider",0.436363636363636
"221","Robert Morris",0.642857142857143
"222","Rutgers",0.357142857142857
"223","SFA",0.482142857142857
"224","SIUE",0.58695652173913
"225","Sacramento St.",0.553191489361702
"226","Sacred Heart",0.4375
"227","Saint Francis",0.48936170212766
"228","Saint Joseph's",0.549019607843137
"229","Saint Louis",0.588235294117647
"230","Saint Mary's (CA)",0.553191489361702
"231","Saint Peter's",0.270833333333333
"232","Sam Houston",0.518518518518519
"233","Samford",0.60377358490566
"234","San Diego",0.395833333333333
"235","San Diego St.",0.673469387755102
"236","San Jose St.",0.448979591836735
"237","Santa Clara",0.625
"238","Seattle U",0.54
"239","Seton Hall",0.58
"240","Siena",0.632075471698113
"241","South Alabama",0.392156862745098
"242","South Carolina",0.740740740740741
"243","South Carolina St.",0.382352941176471
"244","South Dakota",0.553191489361702
"245","South Dakota St.",0.549019607843137
"246","South Fla.",0.731481481481482
"247","Southeast Mo. St.",0.575
"248","Southeastern La.",0.779661016949152
"249","Southern Ill.",0.62
"250","Southern Ind.",0.425
"251","Southern Miss.",0.42
"252","Southern U.",0.463414634146341
"253","Southern Utah",0.418604651162791
"254","St. Bonaventure",0.239130434782609
"255","St. John's (NY)",0.712962962962963
"256","St. Thomas (MN)",0.653061224489796
"257","Stanford",0.795918367346939
"258","Stetson",0.543859649122807
"259","Stonehill",0.306122448979592
"260","Stony Brook",0.5
"261","Syracuse",0.574468085106383
"262","Tarleton St.",0.634615384615385
"263","Tennessee",0.75
"264","Tennessee St.",0.522727272727273
"265","Tennessee Tech",0.372549019607843
"266","Texas",0.833333333333333
"267","Texas A&M",0.826923076923077
"268","Texas Southern",0.368421052631579
"269","Texas St.",0.653846153846154
"270","Texas Tech",0.777777777777778
"271","Toledo",0.391304347826087
"272","Towson",0.442307692307692
"273","Troy",0.589285714285714
"274","Tulsa",0.377358490566038
"275","Tuskegee",0
"276","UAB",0.436363636363636
"277","UAlbany",0.466666666666667
"278","UC Davis",0.3
"279","UC Riverside",0.416666666666667
"280","UC San Diego",0.318181818181818
"281","UC Santa Barbara",0.557692307692308
"282","UCF",0.609090909090909
